 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
952;4.064E-5;1.000;0.009;5.455;3.786;123.690;0.007;1.069;0.936;0.875
953;2.903E-5;1.000;0.009;9.224;3.795;56.310;0.005;1.553;0.644;0.909
954;1.626E-4;1.000;0.017;7.841;3.793;146.310;0.014;1.144;0.874;0.889
955;6.387E-5;0.659;0.016;2.159;3.802;26.565;0.007;2.639;0.379;0.815
956;1.045E-4;0.755;0.019;4.101;3.812;29.745;0.010;2.304;0.434;0.857
957;4.645E-5;1.000;0.010;5.923;3.810;165.964;0.007;1.195;0.837;0.800
958;1.103E-4;1.000;0.014;4.407;3.822;30.964;0.012;1.161;0.861;0.884
959;1.394E-4;0.809;0.019;6.675;3.824;39.806;0.014;1.412;0.708;0.828
960;3.310E-4;1.000;0.024;2.448;3.814;126.870;0.019;1.039;0.963;0.950
961;5.226E-5;1.000;0.011;4.935;3.814;116.565;0.007;1.536;0.651;0.857
962;0.003;0.861;0.066;0.781;3.831;156.251;0.060;1.065;0.939;0.872
963;1.161E-5;1.000;0.005;3.048;3.819;153.435;0.002;2.000;0.500;1.000
964;1.916E-4;0.786;0.024;6.349;3.841;36.870;0.013;2.218;0.451;0.835
965;3.310E-4;1.000;0.024;5.930;3.853;53.130;0.019;1.163;0.860;0.919
966;4.471E-4;0.481;0.038;9.867;3.834;124.695;0.026;1.862;0.537;0.681
967;4.355E-4;1.000;0.029;7.593;3.846;155.556;0.022;1.375;0.727;0.920
968;6.387E-5;0.976;0.012;9.043;3.846;126.870;0.009;1.450;0.689;0.846
969;4.064E-4;0.582;0.031;6.467;3.877;45.000;0.027;1.108;0.902;0.745
970;8.129E-5;0.564;0.019;8.475;3.851;97.125;0.005;3.633;0.275;0.933
971;6.387E-5;1.000;0.011;6.031;3.853;116.565;0.010;1.139;0.878;0.815
972;0.028;0.349;0.317;6.634;3.887;145.827;0.170;1.981;0.505;0.713
973;0.001;0.799;0.056;7.161;3.872;109.983;0.036;1.582;0.632;0.924
974;5.806E-6;1.000;0.003;9.904;3.872;135.000;0.002;1.000;1.000;1.000
975;4.471E-4;0.877;0.028;9.499;3.875;109.983;0.024;1.130;0.885;0.837
